RelYear,AvgPerYear
-112.0,0.001834862385321101
-111.0,0.001834862385321101
-106.0,0.001834862385321101
-101.0,0.001834862385321101
-83.0,0.003669724770642202
-81.0,0.001834862385321101
-80.0,0.003669724770642202
-78.0,0.001834862385321101
-77.0,0.001834862385321101
-76.0,0.001834862385321101
-73.0,0.005504587155963303
-72.0,0.001834862385321101
-71.0,0.005504587155963303
-70.0,0.001834862385321101
-69.0,0.001834862385321101
-67.0,0.001834862385321101
-66.0,0.003669724770642202
-65.0,0.007339449541284404
-64.0,0.003669724770642202
-63.0,0.001834862385321101
-62.0,0.001834862385321101
-61.0,0.001834862385321101
-60.0,0.005504587155963303
-59.0,0.011009174311926606
-58.0,0.02018348623853211
-57.0,0.014678899082568808
-56.0,0.01651376146788991
-55.0,0.025688073394495414
-54.0,0.06422018348623854
-53.0,0.05504587155963303
-52.0,0.07706422018348624
-51.0,0.08990825688073395
-50.0,0.09357798165137615
-49.0,0.09908256880733946
-48.0,0.12660550458715597
-47.0,0.1798165137614679
-46.0,0.181651376146789
-45.0,0.1834862385321101
-44.0,0.20917431192660552
-43.0,0.26238532110091745
-42.0,0.3302752293577982
-41.0,0.41834862385321103
-40.0,0.3944954128440367
-39.0,0.5192660550458715
-38.0,0.563302752293578
-37.0,0.5889908256880734
-36.0,0.6330275229357798
-35.0,0.708256880733945
-34.0,0.8055045871559633
-33.0,0.8366972477064221
-32.0,0.8917431192660551
-31.0,0.9559633027522936
-30.0,1.0825688073394495
-29.0,1.2091743119266054
-28.0,1.4110091743119266
-27.0,1.456880733944954
-26.0,1.58348623853211
-25.0,1.6605504587155964
-24.0,1.9376146788990827
-23.0,2.071559633027523
-22.0,2.302752293577982
-21.0,2.3376146788990826
-20.0,2.623853211009174
-19.0,2.708256880733945
-18.0,2.858715596330275
-17.0,3.077064220183486
-16.0,3.218348623853211
-15.0,3.4623853211009172
-14.0,3.3174311926605506
-13.0,3.4146788990825687
-12.0,3.634862385321101
-11.0,3.620183486238532
-10.0,3.7908256880733946
-9.0,3.922935779816514
-8.0,4.093577981651376
-7.0,4.231192660550459
-6.0,4.572477064220183
-5.0,4.614678899082569
-4.0,4.724770642201835
-3.0,4.587155963302752
-2.0,4.201834862385321
-1.0,4.146788990825688
0.0,4.330275229357798
1.0,5.133944954128441
2.0,3.777981651376147
3.0,3.611009174311927
4.0,3.7376146788990825
5.0,3.458715596330275
6.0,2.977981651376147
7.0,3.0495412844036696
8.0,3.3211009174311927
9.0,3.0825688073394497
10.0,2.695412844036697
11.0,2.453211009174312
12.0,2.388990825688073
13.0,2.095412844036697
14.0,2.0330275229357797
15.0,1.7963302752293577
16.0,1.8477064220183486
17.0,1.636697247706422
18.0,1.4844036697247707
19.0,1.269724770642202
20.0,1.5981651376146788
21.0,1.0770642201834861
22.0,1.0293577981651376
23.0,0.9724770642201835
24.0,0.8440366972477065
25.0,0.8513761467889909
26.0,0.8
27.0,0.763302752293578
28.0,0.7339449541284404
29.0,0.5706422018348624
30.0,0.45504587155963305
31.0,0.5577981651376147
32.0,0.41467889908256883
33.0,0.3743119266055046
34.0,0.28440366972477066
35.0,0.29174311926605506
36.0,0.3284403669724771
37.0,0.28440366972477066
38.0,0.2
39.0,0.1669724770642202
40.0,0.11192660550458716
41.0,0.3137614678899083
42.0,0.13577981651376148
43.0,0.07339449541284404
44.0,0.06422018348623854
45.0,0.05688073394495413
46.0,0.06972477064220184
47.0,0.03486238532110092
48.0,0.045871559633027525
49.0,0.04220183486238532
50.0,0.04220183486238532
51.0,0.03853211009174312
52.0,0.02018348623853211
53.0,0.047706422018348627
54.0,0.005504587155963303
55.0,0.005504587155963303
56.0,0.009174311926605505
57.0,0.014678899082568808
58.0,0.01834862385321101
59.0,0.01651376146788991
60.0,0.025688073394495414
61.0,0.001834862385321101
62.0,0.003669724770642202
63.0,0.001834862385321101
64.0,0.005504587155963303
65.0,0.001834862385321101
66.0,0.003669724770642202
67.0,0.001834862385321101
68.0,0.001834862385321101
70.0,0.001834862385321101
72.0,0.003669724770642202
75.0,0.005504587155963303
77.0,0.001834862385321101
78.0,0.001834862385321101
84.0,0.05504587155963303
87.0,0.001834862385321101
